('1235603336.013237', '1235603336.14752')
('1235603806.681213', '1235603806.678651')
('1235603806.71447', '1235603806.71772')
('1235603806.74785', '1235603806.076989')
('1235603806.781232', '1235603806.788044')
('1235603806.81449', '1235603806.084803')
('1235603806.847874', '1235603806.850554')
('1235603806.881132', '1235603806.873996')
('1235603806.914514', '1235603806.913065')
('1235603806.947773', '1235603806.952134')
('1235603806.981153', '1235603806.983389')
('1235603807.014411', '1235603807.014644')
('1235603807.047791', '1235603807.045899')
('1235603807.081042', '1235603807.78821')
('1235603807.114424', '1235603807.116224')
('1235603807.147687', '1235603807.147479')
('1235603807.181067', '1235603807.178734')
('1235603807.214324', '1235603807.217803')
('1235603807.24771', '1235603807.23343')
('1235603807.281747', '1235603807.280313')
('1235603807.314346', '1235603807.311568')
('1235603807.34773', '1235603807.33501')
('1235603807.380991', '1235603807.381893')
('1235603807.414373', '1235603807.413148')
('1235603807.44763', '1235603807.045899')
('1235603807.48101', '1235603807.045899')
('1235603807.514266', '1235603807.514727')
('1235603807.547777', '1235603807.545982')
('1235603807.58091', '1235603807.56161')
('1235603807.614293', '1235603807.616307')
('1235603807.647552', '1235603807.647562')
('1235603807.680934', '1235603807.678817')
('1235603807.714196', '1235603807.717886')
('1235603807.747575', '1235603807.749141')
('1235603807.780832', '1235603807.780396')
('1235603807.814216', '1235603807.811651')
('1235603807.847599', '1235603807.842906')
('1235603807.880857', '1235603807.881975')
('1235603807.914239', '1235603807.913231')
('1235603807.947496', '1235603807.944486')
('1235603807.980881', '1235603807.983555')
('1235603808.014137', '1235603808.8587')
('1235603808.047517', '1235603808.46801')
('1235603808.080783', '1235603808.79619')
('1235603808.114163', '1235603808.116389')
('1235603808.147419', '1235603808.147645')
('1235603808.180794', '1235603808.186713')
('1235603808.21405', '1235603808.022624')
('1235603808.247429', '1235603808.249224')
('1235603808.28069', '1235603808.030438')
('1235603808.314144', '1235603808.311734')
('1235603808.347452', '1235603808.350803')
('1235603808.380713', '1235603808.382058')
('1235603808.414096', '1235603808.413314')
('1235603808.44735', '1235603808.046065')
('1235603808.480731', '1235603808.483638')
('1235603808.513988', '1235603808.514893')
('1235603808.547373', '1235603808.546148')
('1235603808.580627', '1235603808.577403')
('1235603808.614011', '1235603808.616472')
('1235603808.647268', '1235603808.647727')
('1235603808.680652', '1235603808.678983')
('1235603808.713908', '1235603808.710238')
('1235603808.747293', '1235603808.749307')
('1235603808.780548', '1235603808.780562')
('1235603808.813933', '1235603808.811817')
('1235603808.847314', '1235603808.850886')
('1235603808.880573', '1235603808.882141')
('1235603808.913954', '1235603808.913397')
('1235603808.947214', '1235603808.944652')
('1235603808.980595', '1235603808.983721')
('1235603809.013854', '1235603809.14781')
('1235603809.047234', '1235603809.47599')
('1235603809.0805', '1235603809.0853')
('1235603809.113881', '1235603809.116555')
('1235603809.147139', '1235603809.139997')
('1235603809.180536', '1235603809.179065')
('1235603809.213776', '1235603809.210321')
('1235603809.247158', '1235603809.241576')
('1235603809.280419', '1235603809.280645')
('1235603809.313792', '1235603809.319714')
('1235603809.347048', '1235603809.343155')
('1235603809.380428', '1235603809.382224')
('1235603809.413815', '1235603809.413479')
('1235603809.447071', '1235603809.444735')
('1235603809.480454', '1235603809.483804')
('1235603809.513711', '1235603809.515059')
('1235603809.547094', '1235603809.546314')
('1235603809.580354', '1235603809.577569')
('1235603809.613861', '1235603809.616638')
('1235603809.646993', '1235603809.647893')
('1235603809.680376', '1235603809.679148')
('1235603809.713633', '1235603809.710404')
('1235603809.747015', '1235603809.749473')
('1235603809.780276', '1235603809.780728')
('1235603809.813657', '1235603809.811983')
('1235603809.846915', '1235603809.843238')
('1235603809.880297', '1235603809.882307')
('1235603809.91368', '1235603809.92919')
('1235603809.946936', '1235603809.944818')
('1235603809.980319', '1235603809.983886')
('1235603810.013579', '1235603810.015142')
('1235603810.046962', '1235603810.046397')
('1235603810.080218', '1235603810.077652')
('1235603810.113602', '1235603810.116721')
('1235603810.14686', '1235603810.015142')
('1235603810.180247', '1235603810.179231')
('1235603810.213504', '1235603810.210487')
('1235603810.246885', '1235603810.249556')
('1235603810.280141', '1235603810.280811')
('1235603810.313525', '1235603810.312066')
('1235603810.346783', '1235603810.343321')
('1235603810.380158', '1235603810.374576')
('1235603810.413597', '1235603810.413645')
('1235603810.446798', '1235603810.444901')
('1235603810.48018', '1235603810.046397')
('1235603810.513437', '1235603810.515224')
('1235603810.546819', '1235603810.554294')
('1235603810.58008', '1235603810.60899')
('1235603810.613466', '1235603810.616804')
('1235603810.646716', '1235603810.648059')
('1235603810.680099', '1235603810.679314')
('1235603810.713353', '1235603810.710569')
('1235603810.746743', '1235603810.749638')
('1235603810.779996', '1235603810.780894')
('1235603810.813379', '1235603810.812149')
('1235603810.846634', '1235603810.843404')
('1235603810.880023', '1235603810.882473')
('1235603810.913277', '1235603810.913728')
('1235603810.94666', '1235603810.93717')
('1235603810.980038', '1235603810.976238')
('1235603811.013299', '1235603811.015307')
('1235603811.046679', '1235603811.046563')
('1235603811.079938', '1235603811.78106')
('1235603811.113319', '1235603811.116887')
('1235603811.146579', '1235603811.148142')
('1235603811.17996', '1235603811.015307')
('1235603811.213219', '1235603811.210652')
('1235603811.246599', '1235603811.249721')
('1235603811.27986', '1235603811.28879')
('1235603811.31324', '1235603811.030935')
('1235603811.346502', '1235603811.343487')
('1235603811.379884', '1235603811.382556')
('1235603811.41314', '1235603811.39037')
('1235603811.446527', '1235603811.445066')
('1235603811.479898', '1235603811.476321')
('1235603811.513153', '1235603811.507576')
('1235603811.546541', '1235603811.546646')
('1235603811.579797', '1235603811.577901')
('1235603811.613177', '1235603811.609156')
('1235603811.646438', '1235603811.648225')
('1235603811.679947', '1235603811.687294')
('1235603811.713076', '1235603811.710735')
('1235603811.74646', '1235603811.74199')
('1235603811.77972', '1235603811.78106')
('1235603811.813101', '1235603811.812315')
('1235603811.846354', '1235603811.851384')
('1235603811.879741', '1235603811.882639')
('1235603811.913', '1235603811.06219')
('1235603811.94643', '1235603811.093446')
('1235603811.979762', '1235603811.976404')
('1235603812.01302', '1235603812.07017')
('1235603812.046404', '1235603812.46086')
('1235603812.079661', '1235603812.81248')
('1235603812.113044', '1235603812.109239')
('1235603812.146302', '1235603812.148308')
('1235603812.179684', '1235603812.179563')
('1235603812.212942', '1235603812.210818')
('1235603812.246324', '1235603812.249887')
('1235603812.279582', '1235603812.281142')
('1235603812.312966', '1235603812.312397')
('1235603812.346222', '1235603812.343653')
('1235603812.379607', '1235603812.382722')
('1235603812.412862', '1235603812.413977')
('1235603812.446246', '1235603812.445232')
('1235603812.479629', '1235603812.476487')
('1235603812.512887', '1235603812.515556')
('1235603812.54627', '1235603812.054542')
('1235603812.579519', '1235603812.578067')
('1235603812.612903', '1235603812.609322')
('1235603812.64616', '1235603812.062356')
('1235603812.679543', '1235603812.679646')
('1235603812.7128', '1235603812.07017')
('1235603812.746183', '1235603812.742156')
('1235603812.779444', '1235603812.781225')
('1235603812.812826', '1235603812.820294')
('1235603812.846082', '1235603812.843736')
('1235603812.879462', '1235603812.882805')
('1235603812.912725', '1235603812.906246')
('1235603812.946108', '1235603812.945315')
('1235603812.979364', '1235603812.984384')
('1235603813.012744', '1235603813.14066')
('1235603813.046131', '1235603813.046894')
('1235603813.079387', '1235603813.82046')
('1235603813.11277', '1235603813.14066')
('1235603813.146026', '1235603813.148474')
('1235603813.179403', '1235603813.179729')
('1235603813.212669', '1235603813.210984')
('1235603813.246174', '1235603813.250053')
('1235603813.279306', '1235603813.281308')
('1235603813.312685', '1235603813.312563')
('1235603813.345949', '1235603813.343818')
('1235603813.379328', '1235603813.382887')
('1235603813.412585', '1235603813.414143')
('1235603813.445965', '1235603813.445398')
('1235603813.479226', '1235603813.476653')
('1235603813.512606', '1235603813.515722')
('1235603813.54599', '1235603813.054708')
('1235603813.579245', '1235603813.578232')
('1235603813.61263', '1235603813.062522')
('1235603813.645886', '1235603813.648556')
('1235603813.679262', '1235603813.679812')
('1235603813.712519', '1235603813.711067')
('1235603813.745902', '1235603813.742322')
('1235603813.779158', '1235603813.781391')
('1235603813.812543', '1235603813.812646')
('1235603813.845798', '1235603813.843901')
('1235603813.879183', '1235603813.875157')
('1235603813.912438', '1235603813.914226')
('1235603813.945825', '1235603813.945481')
('1235603813.979081', '1235603813.976736')
('1235603814.012464', '1235603814.015805')
('1235603814.045844', '1235603814.43775')
('1235603814.079225', '1235603814.078315')
('1235603814.11249', '1235603814.007991')
('1235603814.145749', '1235603814.148639')
('1235603814.179793', '1235603814.179895')
('1235603814.21375', '1235603814.21115')
('1235603814.245767', '1235603814.242405')
('1235603814.279026', '1235603814.281474')
('1235603814.312413', '1235603814.312729')
('1235603814.345666', '1235603814.343984')
('1235603814.379048', '1235603814.383053')
('1235603814.412305', '1235603814.414309')
('1235603814.44569', '1235603814.43775')
('1235603814.478946', '1235603814.476819')
('1235603814.512329', '1235603814.515888')
('1235603814.545714', '1235603814.547143')
('1235603814.57897', '1235603814.60184')
('1235603814.612351', '1235603814.609653')
('1235603814.645612', '1235603814.648722')
('1235603814.678994', '1235603814.679977')
('1235603814.712251', '1235603814.711233')
('1235603814.745634', '1235603814.742488')
('1235603814.778884', '1235603814.781557')
('1235603814.812265', '1235603814.812812')
('1235603814.845525', '1235603814.844067')
('1235603814.878907', '1235603814.875322')
('1235603814.912161', '1235603814.914391')
('1235603814.945545', '1235603814.945647')
('1235603814.978802', '1235603814.976902')
('1235603815.012185', '1235603815.11755')
('1235603815.045446', '1235603815.047226')
('1235603815.078827', '1235603815.078481')
('1235603815.112276', '1235603815.109736')
('1235603815.145496', '1235603815.148805')
('1235603815.178853', '1235603815.172247')
('1235603815.212108', '1235603815.211316')
('1235603815.245563', '1235603815.242571')
('1235603815.278758', '1235603815.273826')
('1235603815.312135', '1235603815.312895')
('1235603815.345389', '1235603815.351964')
('1235603815.378774', '1235603815.375405')
('1235603815.412033', '1235603815.414474')
('1235603815.445417', '1235603815.445729')
('1235603815.478673', '1235603815.476985')
('1235603815.512055', '1235603815.516054')
('1235603815.545314', '1235603815.547309')
('1235603815.578695', '1235603815.578564')
('1235603815.612077', '1235603815.609819')
('1235603815.645338', '1235603815.648888')
('1235603815.678719', '1235603815.680143')
('1235603815.711978', '1235603815.711399')
('1235603815.745361', '1235603815.742654')
('1235603815.778616', '1235603815.781723')
('1235603815.81205', '1235603815.79735')
('1235603815.845258', '1235603815.844233')
('1235603815.878633', '1235603815.875488')
('1235603815.911888', '1235603815.914557')
('1235603815.94527', '1235603815.094109')
('1235603815.978528', '1235603815.977067')
('1235603816.011912', '1235603816.12553')
('1235603816.045168', '1235603816.047392')
('1235603816.078548', '1235603816.078647')
('1235603816.111933', '1235603816.109902')
('1235603816.14519', '1235603816.016136')
('1235603816.178572', '1235603816.180226')
('1235603816.211831', '1235603816.211481')
('1235603816.245214', '1235603816.242737')
('1235603816.278536', '1235603816.281806')
('1235603816.311853', '1235603816.313061')
('1235603816.345111', '1235603816.344316')
('1235603816.378494', '1235603816.375571')
('1235603816.41175', '1235603816.41464')
('1235603816.445135', '1235603816.445895')
('1235603816.47839', '1235603816.47715')
('1235603816.511775', '1235603816.508406')
('1235603816.54503', '1235603816.055206')
('1235603816.578412', '1235603816.570916')
('1235603816.611797', '1235603816.609985')
('1235603816.645055', '1235603816.649054')
('1235603816.678437', '1235603816.680309')
('1235603816.711694', '1235603816.711564')
('1235603816.745077', '1235603816.750633')
('1235603816.778335', '1235603816.781888')
('1235603816.811719', '1235603816.813144')
('1235603816.844976', '1235603816.844399')
('1235603816.878358', '1235603816.875654')
('1235603816.911617', '1235603816.914723')
('1235603816.944999', '1235603816.945978')
('1235603816.978248', '1235603816.977233')
('1235603817.011631', '1235603817.09444')
('1235603817.044886', '1235603817.42262')
('1235603817.078271', '1235603817.078813')
('1235603817.111525', '1235603817.110068')
('1235603817.144912', '1235603817.141323')
('1235603817.178291', '1235603817.180392')
('1235603817.21155', '1235603817.19602')
('1235603817.244933', '1235603817.242903')
('1235603817.278191', '1235603817.281971')
('1235603817.311571', '1235603817.313226')
('1235603817.344831', '1235603817.344482')
('1235603817.378211', '1235603817.375737')
('1235603817.411471', '1235603817.414806')
('1235603817.444851', '1235603817.446061')
('1235603817.478113', '1235603817.477316')
('1235603817.511493', '1235603817.508571')
('1235603817.544753', '1235603817.539827')
('1235603817.578133', '1235603817.578896')
('1235603817.611393', '1235603817.610151')
('1235603817.644776', '1235603817.641406')
('1235603817.678161', '1235603817.680475')
('1235603817.711421', '1235603817.703916')
('1235603817.744804', '1235603817.742985')
('1235603817.778059', '1235603817.782054')
('1235603817.811451', '1235603817.813309')
('1235603817.844703', '1235603817.844565')
('1235603817.878082', '1235603817.883634')
('1235603817.911337', '1235603817.914889')
('1235603817.944726', '1235603817.946144')
('1235603817.977989', '1235603817.977399')
('1235603818.011487', '1235603818.10242')
('1235603818.044636', '1235603818.047723')
('1235603818.078016', '1235603818.78222')
('1235603818.111297', '1235603818.110234')
('1235603818.144634', '1235603818.141489')
('1235603818.178022', '1235603818.180558')
('1235603818.21128', '1235603818.024282')
('1235603818.244656', '1235603818.243068')
('1235603818.277915', '1235603818.274323')
('1235603818.311298', '1235603818.313392')
('1235603818.344558', '1235603818.344648')
('1235603818.377936', '1235603818.375903')
('1235603818.411193', '1235603818.414972')
('1235603818.444583', '1235603818.446227')
('1235603818.477838', '1235603818.477482')
('1235603818.511221', '1235603818.508737')
('1235603818.544475', '1235603818.547806')
('1235603818.577859', '1235603818.579062')
('1235603818.611115', '1235603818.610317')
('1235603818.6445', '1235603818.008654')
('1235603818.677881', '1235603818.680641')
('1235603818.711139', '1235603818.711896')
('1235603818.744522', '1235603818.743151')
('1235603818.777776', '1235603818.774406')
('1235603818.81116', '1235603818.078979')
('1235603818.84442', '1235603818.84473')
('1235603818.877804', '1235603818.875986')
('1235603818.911059', '1235603818.907241')
('1235603818.944447', '1235603818.938496')
('1235603818.977699', '1235603818.977565')
('1235603819.011081', '1235603819.7902')
('1235603819.044339', '1235603819.46202')
('1235603819.077723', '1235603819.079144')
('1235603819.110731', '1235603819.110399')
('1235603819.144114', '1235603819.141655')
('1235603819.177365', '1235603819.180724')
('1235603819.210743', '1235603819.211979')
('1235603819.244128', '1235603819.243234')
('1235603819.277387', '1235603819.274489')
('1235603819.310769', '1235603819.313558')
('1235603819.344026', '1235603819.344813')
('1235603819.377409', '1235603819.376069')
('1235603819.410665', '1235603819.407324')
('1235603819.44405', '1235603819.46202')
('1235603819.477307', '1235603819.477648')
('1235603819.51069', '1235603819.047889')
('1235603819.543947', '1235603819.540158')
('1235603819.57733', '1235603819.055703')
('1235603819.61059', '1235603819.62611')
('1235603819.643967', '1235603819.641738')
('1235603819.677227', '1235603819.680807')
('1235603819.710608', '1235603819.712062')
('1235603819.743992', '1235603819.743317')
('1235603819.777247', '1235603819.774572')
('1235603819.810632', '1235603819.813641')
('1235603819.843887', '1235603819.844896')
('1235603819.877272', '1235603819.876152')
('1235603819.910528', '1235603819.907407')
('1235603819.943912', '1235603819.946476')
('1235603819.977168', '1235603819.977731')
('1235603820.010554', '1235603820.9232')
('1235603820.043808', '1235603820.40749')
('1235603820.077194', '1235603820.75911')
('1235603820.11045', '1235603820.9232')
('1235603820.14384', '1235603820.14182')
('1235603820.177094', '1235603820.180889')
('1235603820.210474', '1235603820.212145')
('1235603820.243864', '1235603820.251214')
('1235603820.277111', '1235603820.274655')
('1235603820.310492', '1235603820.313724')
('1235603820.343753', '1235603820.344979')
('1235603820.377139', '1235603820.376234')
('1235603820.410391', '1235603820.415303')
('1235603820.44377', '1235603820.40749')
('1235603820.477033', '1235603820.477814')
('1235603820.510413', '1235603820.509069')
('1235603820.543672', '1235603820.540324')
('1235603820.577053', '1235603820.579393')
('1235603820.610313', '1235603820.610648')
('1235603820.643698', '1235603820.641903')
('1235603820.676957', '1235603820.673159')
('1235603820.710336', '1235603820.712228')
('1235603820.743717', '1235603820.743483')
('1235603820.776971', '1235603820.774738')
('1235603820.810356', '1235603820.813807')
('1235603820.843614', '1235603820.845062')
('1235603820.876996', '1235603820.876317')
('1235603820.91025', '1235603820.087124')
('1235603820.943634', '1235603820.946641')
('1235603820.976891', '1235603820.977897')
('1235603821.010278', '1235603821.009152')
('1235603821.04353', '1235603821.3764')
('1235603821.076915', '1235603821.76709')
('1235603821.11017', '1235603821.009152')
('1235603821.143554', '1235603821.141986')
('1235603821.176811', '1235603821.173241')
('1235603821.210196', '1235603821.212311')
('1235603821.243452', '1235603821.243566')
('1235603821.276836', '1235603821.274821')
('1235603821.310217', '1235603821.306076')
('1235603821.343476', '1235603821.345145')
('1235603821.37685', '1235603821.040407')
('1235603821.410107', '1235603821.407655')
('1235603821.443491', '1235603821.446724')
('1235603821.476748', '1235603821.477979')
('1235603821.510138', '1235603821.509235')
('1235603821.543393', '1235603821.548304')
('1235603821.576769', '1235603821.579559')
('1235603821.610028', '1235603821.610814')
('1235603821.643415', '1235603821.642069')
('1235603821.676671', '1235603821.673324')
('1235603821.71005', '1235603821.70458')
('1235603821.74331', '1235603821.76709')
('1235603821.776697', '1235603821.774904')
('1235603821.810075', '1235603821.813973')
('1235603821.843332', '1235603821.845228')
('1235603821.876719', '1235603821.876483')
('1235603821.909976', '1235603821.907738')
('1235603821.943358', '1235603821.946807')
('1235603821.976611', '1235603821.978062')
('1235603822.010001', '1235603822.009318')
('1235603822.043258', '1235603822.44689')
('1235603822.076637', '1235603822.079642')
('1235603822.109893', '1235603822.110897')
('1235603822.143281', '1235603822.142152')
('1235603822.176535', '1235603822.173407')
('1235603822.209917', '1235603822.212476')
('1235603822.24318', '1235603822.024945')
('1235603822.276561', '1235603822.274987')
('1235603822.309943', '1235603822.306242')
('1235603822.343199', '1235603822.345311')
('1235603822.376579', '1235603822.376566')
('1235603822.409842', '1235603822.407821')
('1235603822.443226', '1235603822.439076')
('1235603822.476473', '1235603822.478145')
('1235603822.509856', '1235603822.509401')
('1235603822.543111', '1235603822.540656')
('1235603822.576497', '1235603822.579725')
('1235603822.609753', '1235603822.603166')
('1235603822.643139', '1235603822.642235')
('1235603822.676395', '1235603822.681304')
('1235603822.709778', '1235603822.712559')
('1235603822.743038', '1235603822.743814')
('1235603822.77642', '1235603822.079642')
('1235603822.809799', '1235603822.806325')
('1235603822.843063', '1235603822.845394')
('1235603822.876444', '1235603822.876649')
('1235603822.9097', '1235603822.009318')
('1235603822.943082', '1235603822.946973')
('1235603822.97634', '1235603822.095269')
('1235603823.009725', '1235603823.009483')
('1235603823.04298', '1235603823.06418')
('1235603823.076363', '1235603823.74398')
('1235603823.109618', '1235603823.111063')
('1235603823.143017', '1235603823.142318')
('1235603823.176262', '1235603823.173573')
('1235603823.209645', '1235603823.212642')
('1235603823.2429', '1235603823.00167')
('1235603823.276284', '1235603823.275152')
('1235603823.30954', '1235603823.29078')
('1235603823.342924', '1235603823.345477')
('1235603823.376303', '1235603823.376732')
('1235603823.40956', '1235603823.040739')
('1235603823.442942', '1235603823.439242')
('1235603823.476203', '1235603823.478311')
('1235603823.509582', '1235603823.509566')
('1235603823.542842', '1235603823.540822')
('1235603823.576215', '1235603823.572077')
('1235603823.609473', '1235603823.611146')
('1235603823.642854', '1235603823.642401')
('1235603823.676114', '1235603823.673656')
('1235603823.709494', '1235603823.712725')
('1235603823.742754', '1235603823.736166')
('1235603823.776135', '1235603823.775235')
('1235603823.809394', '1235603823.814304')
('1235603823.842776', '1235603823.837746')
('1235603823.876159', '1235603823.876815')
('1235603823.909416', '1235603823.915884')
('1235603823.9428', '1235603823.009483')
('1235603823.976055', '1235603823.978394')
('1235603824.00944', '1235603824.001835')
('1235603824.042695', '1235603824.42378')
('1235603824.076081', '1235603824.75196')
('1235603824.10934', '1235603824.009649')
('1235603824.142724', '1235603824.142484')
('1235603824.175982', '1235603824.173739')
('1235603824.209365', '1235603824.212808')
('1235603824.242621', '1235603824.244063')
('1235603824.276002', '1235603824.275318')
('1235603824.309258', '1235603824.306573')
('1235603824.342646', '1235603824.345642')
('1235603824.376025', '1235603824.376898')
('1235603824.409283', '1235603824.408153')
('1235603824.442668', '1235603824.439408')
('1235603824.475926', '1235603824.478477')
('1235603824.509309', '1235603824.509732')
('1235603824.542566', '1235603824.540987')
('1235603824.575947', '1235603824.572242')
('1235603824.609205', '1235603824.611311')
('1235603824.642585', '1235603824.642567')
('1235603824.67584', '1235603824.65038')
('1235603824.709221', '1235603824.712891')
('1235603824.742479', '1235603824.744146')
('1235603824.775862', '1235603824.775401')
('1235603824.809118', '1235603824.806656')
('1235603824.8425', '1235603824.07216')
('1235603824.875884', '1235603824.876981')
('1235603824.909144', '1235603824.908236')
('1235603824.942524', '1235603824.939491')
('1235603824.975783', '1235603824.970746')
('1235603825.009164', '1235603825.009815')
('1235603825.042424', '1235603825.43176')
('1235603825.075806', '1235603825.072325')
('1235603825.109067', '1235603825.111394')
('1235603825.142447', '1235603825.134836')
('1235603825.175703', '1235603825.173905')
('1235603825.209091', '1235603825.212974')
('1235603825.242351', '1235603825.244229')
('1235603825.275731', '1235603825.275484')
('1235603825.30898', '1235603825.033256')
('1235603825.342369', '1235603825.345808')
('1235603825.375629', '1235603825.377064')
('1235603825.409009', '1235603825.408319')
('1235603825.442389', '1235603825.439574')
('1235603825.475654', '1235603825.478643')
('1235603825.509033', '1235603825.509898')
('1235603825.542332', '1235603825.541153')
('1235603825.575672', '1235603825.572408')
('1235603825.608928', '1235603825.611477')
('1235603825.642315', '1235603825.642732')
('1235603825.675571', '1235603825.673988')
('1235603825.708953', '1235603825.705243')
('1235603825.742212', '1235603825.744312')
('1235603825.775588', '1235603825.775567')
('1235603825.808843', '1235603825.806822')
('1235603825.842225', '1235603825.845891')
('1235603825.875485', '1235603825.877146')
('1235603825.908863', '1235603825.908401')
('1235603825.942248', '1235603825.939657')
('1235603825.975504', '1235603825.978726')
('1235603826.00889', '1235603826.002167')
('1235603826.042145', '1235603826.041236')
('1235603826.075527', '1235603826.72885')
('1235603826.108783', '1235603826.103746')
('1235603826.142166', '1235603826.142815')
('1235603826.175423', '1235603826.174071')
('1235603826.208809', '1235603826.205326')
('1235603826.242062', '1235603826.244395')
('1235603826.275449', '1235603826.267836')
('1235603826.308702', '1235603826.306905')
('1235603826.342087', '1235603826.345974')
('1235603826.375342', '1235603826.377229')
('1235603826.408728', '1235603826.408484')
('1235603826.442107', '1235603826.439739')
('1235603826.475367', '1235603826.478809')
('1235603826.508748', '1235603826.510064')
('1235603826.542008', '1235603826.541319')
('1235603826.575388', '1235603826.572574')
('1235603826.608647', '1235603826.611643')
('1235603826.642028', '1235603826.642898')
('1235603826.675288', '1235603826.674153')
('1235603826.708669', '1235603826.705409')
('1235603826.741928', '1235603826.744478')
('1235603826.77531', '1235603826.79136')
('1235603826.808569', '1235603826.806988')
('1235603826.84195', '1235603826.080305')
('1235603826.875201', '1235603826.877312')
('1235603826.908582', '1235603826.908567')
('1235603826.941971', '1235603826.939822')
('1235603826.975225', '1235603826.978891')
('1235603827.008607', '1235603827.010147')
('1235603827.041868', '1235603827.041402')
('1235603827.075248', '1235603827.73683')
('1235603827.108502', '1235603827.111726')
('1235603827.141965', '1235603827.142981')
('1235603827.175147', '1235603827.174236')
('1235603827.208529', '1235603827.205492')
('1235603827.241782', '1235603827.236747')
('1235603827.275169', '1235603827.275816')
('1235603827.30843', '1235603827.033588')
('1235603827.34181', '1235603827.34614')
('1235603827.375063', '1235603827.377395')
('1235603827.408449', '1235603827.400836')
('1235603827.441711', '1235603827.439905')
('1235603827.475095', '1235603827.478974')
('1235603827.508474', '1235603827.502416')
('1235603827.541729', '1235603827.541485')
('1235603827.57512', '1235603827.57274')
('1235603827.608374', '1235603827.611809')
('1235603827.641752', '1235603827.643064')
('1235603827.675015', '1235603827.674319')
('1235603827.7084', '1235603827.010147')
('1235603827.741654', '1235603827.744643')
('1235603827.775114', '1235603827.775899')
('1235603827.808295', '1235603827.807154')
('1235603827.841681', '1235603827.838409')
('1235603827.874935', '1235603827.877478')
('1235603827.908318', '1235603827.908733')
('1235603827.941574', '1235603827.939988')
('1235603827.974949', '1235603827.971243')
('1235603828.008339', '1235603828.08845')
('1235603828.041595', '1235603828.041568')
('1235603828.074976', '1235603828.072823')
('1235603828.108234', '1235603828.111892')
('1235603828.141616', '1235603828.143147')
('1235603828.174914', '1235603828.174402')
('1235603828.208256', '1235603828.205657')
('1235603828.241513', '1235603828.244726')
('1235603828.274896', '1235603828.275981')
('1235603828.308149', '1235603828.307237')
('1235603828.341532', '1235603828.338492')
('1235603828.374786', '1235603828.377561')
('1235603828.408173', '1235603828.408816')
('1235603828.441427', '1235603828.440071')
('1235603828.474811', '1235603828.471326')
('1235603828.508192', '1235603828.510395')
('1235603828.541452', '1235603828.541651')
('1235603828.574832', '1235603828.572906')
('1235603828.60809', '1235603828.64323')
('1235603828.641473', '1235603828.635416')
('1235603828.674732', '1235603828.674485')
('1235603828.708112', '1235603828.713554')
('1235603828.741373', '1235603828.744809')
('1235603828.774754', '1235603828.776064')
('1235603828.808013', '1235603828.815133')
('1235603828.841393', '1235603828.838575')
('1235603828.874654', '1235603828.877644')
('1235603828.908034', '1235603828.908899')
('1235603828.941294', '1235603828.940154')
('1235603828.974675', '1235603828.971409')
('1235603829.008059', '1235603829.09643')
('1235603829.041316', '1235603829.041734')
('1235603829.07473', '1235603829.09643')
('1235603829.107947', '1235603829.104244')
('1235603829.141349', '1235603829.143313')
('1235603829.174593', '1235603829.174568')
('1235603829.207975', '1235603829.205823')
('1235603829.241233', '1235603829.244892')
('1235603829.274648', '1235603829.276147')
('1235603829.307871', '1235603829.307403')
('1235603829.341255', '1235603829.338658')
('1235603829.374513', '1235603829.377727')
('1235603829.407893', '1235603829.408982')
('1235603829.441149', '1235603829.440237')
('1235603829.474539', '1235603829.471492')
('1235603829.507793', '1235603829.510561')
('1235603829.541174', '1235603829.541816')
('1235603829.574558', '1235603829.573071')
('1235603829.607815', '1235603829.604327')
('1235603829.641199', '1235603829.643396')
('1235603829.674455', '1235603829.674651')
('1235603829.707839', '1235603829.705906')
('1235603829.741103', '1235603829.744975')
('1235603829.774478', '1235603829.768416')
('1235603829.807736', '1235603829.807485')
('1235603829.841121', '1235603829.838741')
('1235603829.874377', '1235603829.869996')
('1235603829.90776', '1235603829.088616')
('1235603829.941018', '1235603829.948134')
('1235603829.9744', '1235603829.09643')
('1235603830.00767', '1235603830.00283')
('1235603830.041041', '1235603830.041899')
('1235603830.074424', '1235603830.073154')
('1235603830.107683', '1235603830.112223')
('1235603830.141064', '1235603830.143479')
('1235603830.174318', '1235603830.174734')
('1235603830.207708', '1235603830.205989')
('1235603830.240955', '1235603830.237244')
('1235603830.274335', '1235603830.276313')
('1235603830.3076', '1235603830.00283')
('1235603830.34098', '1235603830.034086')
('1235603830.374237', '1235603830.377892')
('1235603830.407619', '1235603830.409148')
('1235603830.440876', '1235603830.440403')
('1235603830.474756', '1235603830.471658')
('1235603830.507517', '1235603830.510727')
('1235603830.540907', '1235603830.541982')
('1235603830.574285', '1235603830.573237')
('1235603830.607542', '1235603830.604492')
('1235603830.640924', '1235603830.643562')
('1235603830.67418', '1235603830.065341')
('1235603830.707564', '1235603830.706072')
('1235603830.740823', '1235603830.737327')
('1235603830.774206', '1235603830.776396')
('1235603830.80746', '1235603830.080968')
('1235603830.840845', '1235603830.838906')
('1235603830.8741', '1235603830.10441')
('1235603830.907485', '1235603830.901417')
('1235603830.940741', '1235603830.940486')
('1235603830.974122', '1235603830.971741')
('1235603831.007379', '1235603831.07332')
('1235603831.040763', '1235603831.042065')
('1235603831.074147', '1235603831.75312')
('1235603831.107399', '1235603831.104575')
('1235603831.140785', '1235603831.143644')
